stop_id,stop_name,address,city,state_province,postal_code,latitude,longitude,fuel_regular_price,fuel_midgrade_price,fuel_premium_price,fuel_diesel_price,stop_type,country,currency,company_name,stop_company_name,RV Dump,Dental Services,Casino,Electric Vehicle Charging Station,Drug Testing Services,Check Cashing,Check Cashing Services,Pet Wash Station,RV Dump Service,Commercial Truck Oil Change,TirePass In-Service Center,Bulk DEF,Dollar Bill's Slots,Electric Svc,International® Warranty,Lottery,Speedco On-Site,Propane Tank Exchange,Preventative Maintenance,Amazon Pickup,Propane Fill Up Services,Liquor Store,Radioshack,Verizon Wireless,Live Parking,Ministry Services,BITCOIN ATM,Pet Area,Cylinder Propane,Premium Wifi,Handicapped Parking,Urgent Care,Prime Parking Spaces,Restaurant,Video Gaming,Lodging,Fleet Cards Accepted,Total Diesel Dispensers/Lanes,Laundry Room,Freightliner® ExpressPoint℠,Game Room,Wi-Fi - Premium,Private Showers,Bulk Propane,Wifi,Fast Fill CNG (Auto),Wi-Fi,RV Hookup,CAT Scale,RFID Pump Start,Speedzone,Diesel Mobile Fueling,Video Gaming Terminal,Embroidery Shop,Other Lube Services,Transflo Express Scanning,Dog Park,Fast Fill CNG (Class 8),Weigh Scale,Truck Parking Spaces,Bridgestone Tire Monitoring,RV Friendly Parking,Laundry Facility,EV Level 3 DCFC,CB Shop,Refrigerated Trailer Maintenance,Chrome Shop,Diesel Lanes,Car Wash,TransFlo,Western Union,Medical Services,Scale,RV Stop Nearby,Wi-Fi - Basic,Truck Wash,Travel Store,Theater Room,Book Store,Roadside Breakdown Solutions,Drivers Lounge,Full Service Restaurant,EV Tesla Level 3 DCFC,Paid Car Parking,Truck Parking,Engine Diagnostics,Brake Svc,IdleAir,QSR(s),Showers,Dog Wash,Permit Services,Electric Car Charging Station,Self Storage Nearby,Driver Lounge,DEF Lanes,Handicapped Showers,Truck Friendly,Barber Shop,Gas Brand,ATM Available,Chiropractor Services,Video Lottery Terminal,Tire Services,ATM,Transflo,eShop,Hotels Nearby,Pegasus,On-SITE Techs - Select Services,EV Level 2,Fax Machine,CAT Scales,Public Laundry,HVAC Svc,NG Certified Truck Service,Standard Services,Light Mechanical,Oil Changes,Expert Truck Alignments,Amazon Lockers
1280,KWIK STAR #280,301 W KIMBERLY RD,DAVENPORT,IA,52806,41.55926,-90.57509,2.999,,3.999,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1123,KWIK STAR #123,2850 W LOCUST ST,DAVENPORT,IA,52804,41.53838,-90.61916,2.999,,3.999,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11189,KWIK STAR #1189,1200 GUTHRIE ST,DE SOTO,IA,50069,41.53776,-94.01317,2.939,,3.739,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
1207,KWIK STAR #207,1420 11TH ST,DE WITT,IA,52742,41.82653,-90.55175,3.099,,3.899,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,2,,,,,,,y,,,,,,,,,
11190,KWIK STAR #1190,306 COLLEGE DR,DECORAH,IA,52101,43.30783,-91.79676,3.089,,4.089,3.589,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11081,KWIK STAR #1081,1101 MONTGOMERY ST,DECORAH,IA,52101,43.29297,-91.77053,3.099,,4.099,3.589,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11086,KWIK STAR #1086,5145 NE 14TH ST,DES MOINES,IA,50313,41.65461,-93.60019,2.999,,3.799,3.799,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11053,KWIK STAR #1053,4105 HUBBELL AVE,DES MOINES,IA,50317,41.63441,-93.53379,2.899,,3.699,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1506,STOP N GO #506,4923 MERLE HAY RD,DES MOINES,IA,50322,41.64933,-93.69727,2.949,,3.749,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1519,STOP N GO #519,727 SE 14TH ST,DES MOINES,IA,50317,41.58167,-93.59641,2.999,,3.799,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
